entity1	entity2	label	text	id	beg1	beg2	end1	end2
자딘_매터슨	윌리엄_자딘	단체:창립자	초대 준남작, 제임스 니콜라스 서덜랜드 매터슨(, ,  [[ 1796년 ]]   [[ 11월_17일 ]]  -  [[ 1878년 ]]   [[ 12월_31일 ]] )은  [[ 영국 ]]   [[ 스코틀랜드 ]] 의 사업가로  윌리엄_자딘 과 함께  자딘_매터슨  상회를 설립했다.	foundedBy378	139	126	144	131
아마존닷컴	제프_베조스	단체:구성원	 미국 최초의 흑인  [[ 퍼스트_레이디 ]]   [[ 미셸_오바마 ]] , 전 부통령  [[ 에런_버 ]] , 전 국방부 장관  [[ 도널드_럼즈펠드 ]] , 전 국무장관  [[ 존_포스터_덜레스 ]] , '봉쇄정책의 아버지'로 알려진 외교관  [[ 조지_케넌 ]] ,  [[ 미국_연방대법원 ]]  대법관  [[ 소니아_소토마요르 ]] 와  [[ 엘레나_케이건 ]] , 《 [[ 포브스 ]] 》지 발행인  [[ 스티브_포브스 ]] ,  [[ 구글 ]] 의 CEO  [[ 에릭_슈밋 ]] ,  [[ 이베이 ]] 의 CEO  [[ 메그_휘트먼 ]] ,  아마존닷컴  설립자  제프_베조스 노벨_물리학상 ]]   [[ 리처드_파인만 ]] , '컴퓨터 과학의 아버지'  [[ 앨런_튜링 ]] ,  [[ 필즈상 ]] 을 수상한 수학자  [[ 테렌스_타오 ]] ,  [[ 존_밀너 ]] , 만줄 바르가바와 물리학자  [[ 에드워드_위튼 ]] ,  [[ 아벨상 ]] 을 수상한 수학자  [[ 존_테이트 ]] ,  [[ 야코프_그리고리예비치_시나이 ]] 도 프린스턴을 졸업했다.	keyPerson373	310	322	314	327
좀비랜드	폴_워닉	인물:제작	  폴_워닉 과 함께 쓴 《 좀비랜드 》(2009), 《 [[ 지.아이.조_2 ]] 》(2013), 《 [[ 데드풀_(영화) ]] 》(2016)이 알려져 있다.	writer375	16	2	19	5
북송	북송_휘종	단체:구성원	정화(政和)는  북송 의 휘종(徽宗)인  북송_휘종던  [[ 연호 ]] 이다.	leaderName245	9	23	10	27
N.W.A	아이스_큐브	단체:구성원	"  [[ 1992년 ]] , 자신이 존경했던 힙합 그룹  N.W.A 의 멤버인  아이스_큐브후 솔로 활동을 하면서 ""Black Korea""라는 곡을 통해 한인에 대한 곡을 발표하였다."	pastMember254	32	45	36	50
붉은_10월	톰_클랜시	인물:제작	"  [[ 프레더릭_포사이스 ]]  원작의 《재칼의 날, ""The Day of the Jackal""》,  톰_클랜시  원작의 《 붉은_10월 , ""The Hunt for Red October""》,  [[ 토머스_해리스 ]]  원작의 《 [[ 양들의_침묵 ]] 》,  [[ 마이클_크라이튼 ]]  원작의 《 [[ 쥬라기_공원 ]] 》, 《콩고 ""Congo""》,  [[ 댄_브라운 ]] 이 쓴 《 [[ 다빈치_코드 ]] 》 등이 있다."	author8	71	58	76	62
오달제	청나라	인물:사망_국가	삼학사(三學士)는  [[ 1637년 ]]   [[ 병자호란 ]]  때  [[ 조선 ]] 이 중국  청나라 에 항복하는 것을 반대하고 척화론(斥和論)을 주장했다가 청나라에 잡혀가 참혹한 죽음을 당했던 척화파의 강경론자 세 사람, 즉  [[ 홍익한 ]] ,  [[ 윤집 ]] ,  오달제 를 일컫는 말이다.	deathPlace18	155	55	157	57
미소를_띄우며_나를_보낸_그_모습처럼_(이은하의_노래)	장덕	인물:제작	"1. "" 미소를_띄우며_나를_보낸_그_모습처럼_(이은하의_노래) "" ( [[ 이은하 ]]  작사 /  장덕  작사 /  [[ _obj_ ]]  작곡) - 03:00"	composer187	5	57	34	58
2AM	이창민_(1986년)	단체:구성원	《 [[ 졸업_(디지털싱글) ]] 》은  2AM 의  이창민_(1986년)권 ]] 이  [[ 2009년 ]]  발표한 디지털 싱글 앨범이다.	currentMember184	23	30	25	40
스웨덴_민주당	민족주의	단체:정치/종교성향	리처드 욤쇼프 (,  [[ 1969년 ]]   [[ 3월_17일 ]]  ~) 은  [[ 스웨덴 ]] 의 정치인으로,  민족주의 ,  [[ 사회보수주의 ]] ,  [[ 우익대중주의 ]] ,  [[ 유럽회의주의 ]]  정당인  스웨덴_민주당  ()의 원내대표이다.	ideology182	125	66	131	69
정의당_(대한민국)	민주사회주의	단체:정치/종교성향	현존하는 주요  민주사회주의 ,  [[ 사회민주주의 ]] 정당인  정의당_(대한민국) 과  [[ 노동당_(대한민국) ]] 은 아직까진 참여하지 않는 상태이며, 정의당은 가입하기 위해 노력하는 중이다.	ideology189	37	9	46	14
심정_(1471년)	심사순	인물:자녀	심사손은  [[ 조선_중종 ]]  때,  [[ 좌의정 ]] 을 지낸 화천부원군(花川府院君)  심정_(1471년) (沈貞)의 차남으로,  [[ 조선_중종 ]]  때,  [[ 홍문관 ]]   [[ 부제학 ]] 을 지낸  심사순(沈思順)의 형이고,  [[ 조선_선조 ]]  때,  [[ 좌의정 ]] 을 지낸 청백리  [[ 심수경 ]] (沈守慶)의 아버지이다.	child422	52	121	61	123
